DAY,TIME,WEATHER
6,1537,A
4,223,A
4,1506,A
4,1936,A
5,347,B
7,710,A
4,1644,A
6,940,B
1,1105,B
3,2200,A
2,1243,C
1,1505,C
2,1100,A
3,2233,A
1,1700,A
4,1352,A
1,1722,A
4,1300,A
4,1415,B
2,830,A
3,1410,A
6,941,B
3,1145,A
3,1146,A
4,2114,A
6,130,A
3,732,A
3,1532,A
2,1510,A
5,945,A
4,1805,A
1,1054,A
1,1055,A
1,830,A
6,2305,A
6,1656,A
3,1837,A
1,548,B
4,1353,A
4,1018,A
1,1623,A
3,1537,A
4,930,A
3,2155,A
5,1200,A
5,830,A
6,1454,A
3,1541,A
2,1645,A
6,2125,A
2,940,A
4,1520,A
2,240,A
2,1743,A
3,2342,C
3,1707,A
3,1410,A
5,1921,A
5,1910,A
7,2231,A
1,1143,A
1,1846,A
2,1643,A
3,2006,A
3,1530,A
3,1607,A
4,2010,A
4,1759,A
5,1037,A
6,224,A
2,1642,A
2,1330,A
3,2030,A
3,1715,A
3,1630,B
5,1738,A
6,1500,A
7,1859,A
7,345,A
7,1547,A
7,1641,A
1,1836,A
2,2340,A
2,637,A
3,1728,A
4,1425,A
4,1140,A
4,750,A
2,1500,A
4,1353,A
4,1656,A
5,731,A
5,1625,A
5,825,A
5,1608,A
5,1236,A
5,1637,A
6,1534,A
6,1435,A
1,2105,A
1,1626,A
3,1541,A
4,1943,A
5,1200,A
5,1233,A
7,1718,A
1,1217,A
2,1354,A
3,810,A
3,1900,A
3,2119,A
4,1046,A
4,930,D
5,2322,A
5,1517,A
5,1812,A
6,311,A
6,50,B
6,917,A
7,1838,A
7,1843,B
2,815,A
2,917,A
2,1830,B
3,746,A
3,1451,A
4,804,A
4,1553,A
4,1120,A
5,2311,A
5,701,A
5,1724,A
5,935,A
5,1009,A
6,1540,A
7,1626,A
1,1254,A
1,1740,A
2,1221,A
3,1510,A
4,1505,A
4,1042,B
5,1455,A
5,502,A
7,1240,A
7,910,A
7,15,A
7,1352,A
1,833,A
1,2336,A
1,1230,A
2,1433,A
3,1551,C
3,1314,A
4,1600,A
5,1110,A
5,816,A
5,1828,A
5,1324,A
5,1617,A
5,1500,A
7,154,A
7,701,A
2,10,A
2,1647,A
2,1500,A
2,1611,A
3,1540,A
4,1610,A
5,1345,A
5,1846,A
6,106,A
7,1013,A
1,1355,A
1,937,A
2,2002,A
2,1730,A
4,1936,A
4,1441,A
4,1524,A
4,1700,A
4,911,A
4,1213,A
4,1810,-
6,1115,A
6,1501,A
6,1300,A
1,1650,A
1,1853,A
2,1850,A
2,1909,A
2,1433,A
2,100,A
3,1315,A
4,1600,B
6,1414,A
7,854,B
7,2011,A
7,1920,A
1,640,B
1,1645,A
2,1702,A
2,1804,A
2,1117,B
2,1458,A
3,1936,A
3,1800,B
4,1754,A
4,1355,B
4,1205,A
4,521,B
5,1819,A
