DAY,TIME,WEATHER,INTERSECTION
6,1537,A,BROADWAY_CHERRY
4,223,A,BELLFLOWER BL_ANAHEIM RD
4,1506,A,BELLFLOWER BL_ANAHEIM RD
4,1936,A,BROADWAY_CHERRY AV
5,347,B,BROADWAY_CHERRY AV
7,710,A,BROADWAY_CHERRY
4,1644,A,CHERRY AV_WARDLOW RD
6,940,B,LAKEWOOD BL_OUTER TRAFFIC CIR
1,1105,B,WARDLOW RD_PACIFIC PL
3,2200,A,CHERRY AV_WARDLOW RD
2,1243,C,BROADWAY_CHERRY AV
1,1505,C,ATLANTIC AV_WARDLOW RD
2,1100,A,DEL AMO BL_CHERRY AV
3,2233,A,BROADWAY_CHERRY
1,1700,A,WARDLOW RD_PACIFIC PL
4,1352,A,OCEAN BL_MAGNOLIA AV
1,1722,A,BROADWAY_CHERRY AV
4,1300,A,WARDLOW RD_PACIFIC PL
4,1415,B,WARDLOW RD_PACIFIC PL
2,830,A,WARDLOW RD_PACIFIC PL
3,1410,A,OCEAN BL_MAGNOLIA AV
6,941,B,CHERRY AV_WARDLOW RD
3,1145,A,WARDLOW RD_PACIFIC PL
3,1146,A,WARDLOW RD_PACIFIC PL
4,2114,A,BELLFLOWER BL_ANAHEIM RD
6,130,A,BROADWAY_CHERRY
3,732,A,CHERRY AV_WARDLOW RD
3,1532,A,LAKEWOOD BL_OUTER TRAFFIC CIR
2,1510,A,ATLANTIC AV_WARDLOW RD
5,945,A,BROADWAY_CHERRY AV
4,1805,A,OCEAN BL_LINDEN AV
1,1054,A,BELLFLOWER BL_ANAHEIM RD
1,1055,A,BELLFLOWER BL_ANAHEIM RD
1,830,A,BROADWAY_CHERRY AV
6,2305,A,BROADWAY_CHERRY
6,1656,A,BELLFLOWER BL_ANAHEIM RD
3,1837,A,BELLFLOWER BL_ANAHEIM RD
1,548,B,BELLFLOWER BL_ANAHEIM RD
4,1353,A,WARDLOW RD_PACIFIC PL
4,1018,A,BROADWAY_CHERRY AV
1,1623,A,OCEAN BL_MAGNOLIA AV
3,1537,A,LAKEWOOD BL_OUTER TRAFFIC CIR
4,930,A,BELLFLOWER BL_ANAHEIM RD
3,2155,A,BROADWAY_CHERRY AV
5,1200,A,ATLANTIC AV_WARDLOW RD
5,830,A,CHERRY AV_WARDLOW RD
6,1454,A,CHERRY AV_WARDLOW RD
3,1541,A,PALO VERDE AV_WOODRUFF AV
2,1645,A,WARDLOW RD_PACIFIC PL
6,2125,A,DEL AMO BL_CHERRY AV
2,940,A,OCEAN BL_PINE AV
4,1520,A,OCEAN BL_PINE AV
2,240,A,PACIFIC COAST HWY_LONG BEACH BL
2,1743,A,LONG BEACH BL_PACIFIC COAST HWY
3,2342,C,LAKEWOOD BL_OUTER TRAFFIC CIR
3,1707,A,PACIFIC COAST HWY_JUNIPERO AV
3,1410,A,ANAHEIM ST_CHERRY AV
5,1921,A,ATLANTIC AV_SOUTH ST
5,1910,A,PACIFIC COAST HWY_STUDEBAKER RD
7,2231,A,7TH ST_CHERRY AV
1,1143,A,BROADWAY_CHERRY
1,1846,A,BROADWAY_CHERRY AV
2,1643,A,PACIFIC COAST HWY_WALNUT AV
3,2006,A,SOUTH ST_PARAMOUNT BL
3,1530,A,OCEAN BL_LINDEN AV
3,1607,A,PACIFIC COAST HWY_CHERRY AV
4,2010,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
4,1759,A,OCEAN BL_PINE AV
5,1037,A,CARSON ST_CLARK AV
6,224,A,7TH ST_PARK AV
2,1642,A,7TH ST_OBISPO AV
2,1330,A,7TH ST_WALNUT AV
3,2030,A,LONG BEACH BL_PACIFIC COAST HWY
3,1715,A,CHERRY AV_WARDLOW RD
3,1630,B,PACIFIC COAST HWY_JUNIPERO AV
5,1738,A,WILLOW ST_LONG BEACH BL
6,1500,A,7TH ST_BELLFLOWER BL
7,1859,A,7TH ST_PARK AV
7,345,A,7TH ST_CHERRY AV
7,1547,A,7TH ST_REDONDO AV
7,1641,A,ATLANTIC AV_WILLOW ST
1,1836,A,PACIFIC COAST HWY_TERMINO AV
2,2340,A,PACIFIC COAST HWY_PINE AV
2,637,A,ANAHEIM ST_MAGNOLIA AV
