PRIMARY_RD,SECONDARY_RD,LATITUDE,LONGITUDE,COUNT
RT 710,RT 405,33.820563,-118.206868,698
RT 710,DEL AMO BL,33.847552,-118.206574,692
RT 710,WILLOW ST,33.804175,-118.200527,631
RT 405,LAKEWOOD BL,33.808270,-118.155331,574
RT 710,LONG BEACH BL,33.861556,-118.199797,533
RT 405,BELLFLOWER BL,33.802574,-118.131185,467
RT 405,CHERRY AV,33.813226,-118.167650,464
RT 710,RT 91,33.874951,-118.192421,448
RT 91,CHERRY AV,33.876334,-118.167205,409
RT 91,ATLANTIC AV,33.874304,-118.195426,399
RT 405,WOODRUFF AV,33.800569,-118.112427,376
RT 710,PACIFIC COAST HWY,33.790725,-118.207117,360
RT 405,TEMPLE AV,33.810128,-118.158172,337
RT 710,WARDLOW RD,33.825159,-118.215320,332
RT 91,PARAMOUNT BL,33.875980,-118.168895,299
RT 405,PALO VERDE AV,33.797512,-118.106836,289
RT 710,ARTESIA BL,33.870475,-118.194857,286
RT 710,ANAHEIM ST,33.780944,-118.206822,249
RT 405,ATLANTIC AV,33.815740,-118.186824,248
RT 91,LONG BEACH BL,33.872284,-118.204179,243
RT 405,PACIFIC AV,33.825558,-118.208474,241
RT 405,STUDEBAKER RD,33.790344,-118.099674,236
RT 605,SPRING ST,33.813192,-118.081736,211
RT 405,LONG BEACH BL,33.816495,-118.187276,210
RT 405,SPRING ST,33.812765,-118.168548,172
RT 605,CARSON ST,33.832262,-118.135654,156
