CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G
"0018623",1,"1","Y","M",18,"A","-","E","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",2000,"TOYOTA","A","","","O","","-","-"
"0018623",2,"1","N","M",48,"A","-","S","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",1990,"BMW","A","","","W","","-","-"
"0018631",1,"1","Y","F",49,"A","-","E","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",1991,"MAZDA","A","","","A","","-","-"
"0018631",2,"1","N","F",45,"A","-","E","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"A",2001,"MERCEDES-BENZ","A","","","A","","-","-"
"0018634",1,"1","Y","F",21,"A","-","S","-","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",1986,"FORD","A","","","A","","-","-"
"0018634",2,"1","N","M",18,"A","-","S","-","-","Y","-","-","-","-","- ",,"","N","-",0,1,"A",1986,"CHEVROLET","A","","","O","","-","-"
"0018634",3,"1","N","M",27,"A","-","S","-","-","Y","-","-","-","-","- ",,"","K","-",0,0,"A",1994,"VOLVO","A","","","W","","-","-"
"0018638",1,"1","Y","M",40,"A","-","N","G","-","Y","-","-","-","-","- ",,"","L","-",0,0,"J",1999,"LAND ROVER","A","","","O","","-","-"
"0018638",2,"1","N","F",46,"A","-","N","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",1999,"LEXUS","A","","","A","","-","-"
"0018640",1,"1","N","M",31,"A","-","W","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"A",1997,"MERCEDES-BENZ","A","","","O","","-","-"
"0018640",2,"1","Y","M",19,"A","-","W","G","-","Y","-","-","-","-","- ",,"","F","-",0,0,"B",1997,"FORD","D","","","W","-","-","-"
"0041843",1,"1","Y","F",53,"A","-","E","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",1998,"TOYOTA","A","","","O","","-","-"
"0041843",2,"1","N","F",25,"A","-","S","L","-","Y","-","-","-","-","- ",,"","N","-",0,1,"E",1994,"TOYOTA","A","","","A","","-","-"
"0041847",1,"1","Y","M",34,"A","-","N","G","-","Y","-","-","-","-","- ",,"","F","-",0,0,"B",1998,"GMC","D","","","H","-","-","-"
"0041847",2,"3","N","-",998,"-","-","N","-","-","O","-","-","-","-","- ",,"","-","-",0,0,"O",1970,"CHEVROLET","A","","","","","-","-"
"0041851",1,"1","Y","M",42,"A","-","W","G","-","Y","-","-","-","-","- ",,"","N","-",0,0,"B",1997,"INTERNATIONAL HARVESTER","G","","","W","","-","-"
