CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"0018623",2,"2","F",42,"0","3","G","-","0"
"0018634",2,"1","M",18,"4","1","-","-","-"
"0041843",2,"1","F",25,"3","1","L","-","0"
"0041855",2,"2","M",3,"0","4","Q","-","0"
"0041855",2,"1","F",46,"4","1","G","-","0"
"0041856",2,"1","F",34,"4","1","G","-","0"
"0041856",3,"1","F",71,"4","1","G","-","0"
"0041856",4,"2","M",11,"0","6","-","-","0"
"0041856",4,"2","F",4,"0","4","Q","-","0"
"0041864",2,"2","M",40,"0","3","G","-","0"
"0041864",2,"2","M",37,"0","4","G","-","0"
"0041864",2,"2","M",31,"0","6","G","-","0"
"0041864",3,"2","F",36,"0","3","G","-","0"
"0041864",3,"2","M",31,"0","9","H","-","0"
"0041864",3,"2","M",33,"0","4","G","-","0"
"0041864",3,"2","M",43,"0","7","H","-","0"
"0041864",3,"2","M",23,"0","6","G","-","0"
"0041875",1,"2","M",14,"0","3","G","-","3"
"0041884",1,"1","M",26,"3","1","G","-","0"
"0041895",2,"1","F",28,"4","1","G","-","3"
"0041896",2,"2","F",32,"0","3","G","-","0"
"0041896",2,"2","M",7,"0","4","G","-","0"
"0041896",2,"1","M",36,"4","1","G","-","0"
"0041896",2,"2","M",5,"0","6","G","-","0"
"0041916",1,"2","F",19,"0","3","G","-","0"
"0041920",2,"1","M",21,"4","1","G","-","3"
"0041920",3,"1","F",16,"4","1","G","-","0"
"0057959",1,"1","M",54,"4","1","G","-","0"
"0057959",2,"1","F",80,"4","1","L","-","0"
"0057962",1,"2","M",27,"0","3","G","-","0"
"0057962",2,"2","F",21,"0","3","G","-","0"
"0057962",2,"2","F",18,"0","6","G","-","0"
"0057963",1,"2","F",11,"0","3","G","-","0"
"0057964",1,"4","M",17,"3","1","W","-","1"
