CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"9340010108101513718",2001,20010601,9340,20010108,1015,"13718","0","1","1","5","4303","-","1","1"," ","2","282","RT 280","RT 85","2112","S","N","B","-","Y","SCL",4,280,"B","B",10.34,"H","7","S","Y","3",0,1,1,"A","C","07",21658,"A","N","F","A","A","A","H","-","A","D","1","","","","","Y","","A","07",0,1,0,0,0,0,0,0,0,"","",,
"9340010108110016221",2001,20010518,9340,20010108,1100,"16221","0","1","1","5","4303","-","1","3"," ","2","085","RT 85 NBTRN","RT 280","300","S","N","B","-","Y","SCL",4,85,"B","R",17.843,"R","1","N","Y","0",0,0,3,"A","C","03",22350,"","N","C","C","A","B","H","-","A","D","1","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010109095010305",2001,20010618,9340,20010109,0950,"10305","0","2","1","5","4303","-","1","1"," ","2","282","RT 280","RT 85","100","N","N","A","-","Y","SCL",4,280,"B","B",10.85,"H","7","S","N","0",0,0,2,"D","-","00",0,"","N","H","C","A","A","H","-","A","D","1","","","","Y","Y","","","",0,0,0,0,0,0,0,0,0,"","",,
"9340010110100015998",2001,20010621,9340,20010110,1000,"15998","0","3","1","5","4303","-","1","1"," ","2","282","RT 280","RT 85","528","S","N","B","C","Y","SCL",4,280,"B","B",10.64,"H","7","N","Y","3",0,1,1,"A","C","03",22350,"","N","E","I","A","B","H","-","A","D","1","","","","","Y","","A","01",0,1,0,0,0,0,0,0,0,"","",,
"9340010110140015588",2001,20010518,9340,20010110,1400,"15588","0","3","2","5","4303","-","1","3"," ","2","085","RT 85 SBON/R","STEVENS CRK BL","150","S","N","C","-","Y","SCL",4,85,"B","R",17.493,"R","2","S","N","0",0,0,2,"A","C","03",22350,"","N","C","C","A","B","H","-","A","D","1","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"","",,
"9340010111104510305",2001,20010629,9340,20010111,1045,"10305","0","4","1","5","4303","-","1","1"," ","2","282","RT 280","STELLING RD","1600","N","N","B","C","Y","SCL",4,280,"B","B",10.24,"H","7","N","Y","2",0,1,1,"A","C","03",22350,"","N","E","I","A","A","H","-","A","D","1","","","","","Y","","D","22",1,0,0,0,0,0,0,0,0,"","",,
"9340010113234516258",2001,20010629,9340,20010113,2345,"16258","0","6","3","5","4303","-","1","1"," ","2","282","RT 280 SBON/R","WOLFE RD OC","400","S","N","B","C","Y","SCL",4,280,"B","B",8.221,"R","2","S","Y","0",0,0,1,"A","C","03",22350,"","N","E","I","A","B","H","-","D","D","0","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"","",,
"9340010114123015676",2001,20010621,9340,20010114,1230,"15676","0","7","1","5","4303","-","1","1"," ","2","282","RT 280","FOOTHILL EXPWY","200","S","N","A","-","Y","SCL",4,280,"B","B",11.41,"H","7","S","Y","4",0,2,3,"A","C","07",21658,"A","F","E","I","A","A","H","-","A","D","1","","","","","Y","","D","22",0,0,2,0,0,0,0,0,0,"","",,
"9340010117070010305",2001,20010621,9340,20010117,0700,"10305","0","3","1","5","4303","-","1","3"," ","2","085","RT 85","STEVENS CRK BL","1584","N","N","A","-","Y","SCL",4,85,"B","R",18,"H","7","S","Y","0",0,0,1,"A","C","07",21658,"A","N","E","I","A","A","H","-","A","D","1","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010117080510305",2001,20010629,9340,20010117,0805,"10305","0","3","1","5","4303","-","1","1"," ","2","282","RT 280","RT 85","300","S","N","A","-","Y","SCL",4,280,"B","B",10.68,"H","7","N","Y","0",0,0,2,"A","C","04",21703,"","N","C","C","A","A","H","-","A","D","1","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"","",,
