CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G
"0000102",1,"1","Y","M",37,"A","-","S","G","-","N","-","D","-","-","- ",,"","G","-",0,0,"B",1984,"BMW","A","01","00","W","","-","-"
"0000102",2,"1","N","F",61,"A","-","S","G","-","Y","-","C","-","-","- ",,"","G","-",0,1,"H",1991,"FORD","A","01","00","W","","-","-"
"0000184",1,"1","N","M",42,"A","-","S","L","-","N","-","D","-","-","- ",,"","N","-",0,1,"B",1997,"VOLKSWAGEN","A","01","00","W","","-","-"
"0000184",2,"1","Y","-",998,"G","G","S","B","-","N","-","D","-","-","- ",,"","N","-",0,0,"M",,"BUICK","-","99","00","","","-","-"
"0000307",1,"1","Y","M",55,"A","-","N","G","-","Y","-","C","-","-","- ",,"","H","-",0,0,"B",2001,"TOYOTA","D","22","00","W","","-","-"
"0000307",2,"1","N","M",39,"A","-","N","G","-","Y","-","C","-","-","- ",,"","H","-",0,0,"A",1998,"TOYOTA","D","22","00","W","","-","-"
"0000316",1,"1","N","M",24,"G","G","S","G","-","N","-","D","-","-","- ",,"","G","-",0,0,"A",1992,"CHEVROLET","E","22","35","H","","-","-"
"0000316",2,"1","N","F",32,"A","-","S","L","-","Y","-","C","-","-","- ",,"","G","-",0,0,"A",1996,"HONDA","A","01","00","W","","-","-"
"0000316",3,"1","Y","F",43,"A","-","S","L","-","Y","-","C","-","-","- ",,"","F","G",0,0,"B",1998,"VOLVO","A","01","00","W","P","-","-"
"0000546",1,"1","Y","M",28,"A","-","S","G","-","Y","-","C","-","-","- ",,"","F","-",0,0,"B",1999,"FORD","D","22","00","W","D","-","-"
"0000546",2,"1","N","M",20,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"H",1996,"KIA","A","01","00","O","","-","-"
"0001488",1,"1","Y","F",35,"A","-","S","L","-","Y","-","C","-","-","- ",,"","N","-",0,0,"H",1990,"CADILLAC","A","01","00","W","","-","-"
"0001488",2,"1","N","F",21,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"A",1999,"HONDA","A","01","00","H","","-","-"
"0001492",1,"1","Y","M",27,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",1995,"HONDA","A","01","00","W","","-","-"
"0001492",2,"1","N","M",25,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"H",1996,"FORD","A","01","00","W","","-","-"
"0001497",1,"1","Y","F",33,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",1993,"FORD","A","07","00","W","","-","-"
"0001497",2,"1","N","M",30,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,1,"A",2000,"VOLKSWAGEN","A","01","00","W","","-","-"
"0001497",3,"1","N","M",30,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"A",2002,"CHEVROLET","D","22","00","W","","-","-"
"0001497",4,"1","N","F",36,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"A",1994,"TOYOTA","A","01","00","B","","-","-"
"0002098",1,"1","Y","M",55,"A","-","N","C","-","Y","-","D","-","-","- ",,"","N","-",0,0,"M",1998,"CHEVROLET","H","14","00","O","","-","-"
"0002098",2,"3","N","-",998,"H","H","N","-","-","O","-","D","-","-","- ",,"","-","-",0,0,"O",1971,"CHEVROLET","D","22","00","","","-","-"
"0003318",1,"1","N","M",38,"A","-","S","G","-","Y","-","D","-","","25",22350,"","A","N",0,0,"B",2000,"FORD","D","22","00","H","","-","-"
"0003318",2,"1","N","M",21,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"H",1992,"TOYOTA","D","22","00","W","","-","-"
