CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"0000102",2,"1","F",61,"4","1","G","-","0"
"0000184",1,"1","M",42,"4","1","L","-","0"
"0000316",1,"2","M",19,"0","3","G","-","0"
"0001488",1,"2","F",7,"0","4","Q","-","0"
"0001488",1,"2","M",2,"0","6","Q","-","0"
"0001497",1,"2","M",0,"0","4","Q","-","0"
"0001497",1,"2","F",2,"0","6","Q","-","0"
"0001497",2,"1","M",30,"4","1","G","-","0"
"0003318",4,"1","F",17,"4","1","G","-","0"
"0003321",1,"1","F",18,"4","1","G","-","0"
"0003321",1,"2","F",17,"3","3","G","-","0"
"0009528",1,"2","M",18,"4","3","G","-","0"
"0012098",1,"2","M",19,"0","3","G","-","0"
"0012118",1,"1","F",41,"4","1","G","-","0"
"0027209",1,"1","F",21,"4","1","G","-","0"
"0030021",1,"1","M",27,"3","1","G","-","0"
"0052315",1,"2","M",18,"3","3","G","-","0"
"0052315",1,"1","M",18,"3","1","G","-","0"
"0073448",1,"1","M",29,"4","1","G","-","0"
"0074269",2,"1","F",29,"4","1","G","-","0"
"0074269",2,"2","F",20,"4","3","G","-","0"
"0077655",3,"2","M",22,"0","3","G","-","0"
"0079258",2,"2","F",84,"0","3","G","-","0"
"0079439",1,"1","F",48,"3","1","G","-","0"
"0079439",2,"1","M",23,"3","1","L","-","0"
"0096666",3,"1","M",33,"4","1","G","-","0"
"0104915",1,"1","M",31,"3","1","G","-","0"
"0109362",1,"1","F",33,"4","1","G","-","0"
"0109375",1,"2","F",40,"0","4","G","-","0"
"0109375",1,"2","F",62,"4","3","G","-","0"
"0109375",1,"1","F",59,"4","1","G","-","0"
"0109389",1,"2","M",19,"0","3","G","-","0"
"0109389",1,"2","F",39,"4","6","G","-","0"
"0109389",1,"2","F",42,"4","4","G","-","0"
"0109413",1,"1","F",24,"3","1","L","-","0"
"0109413",2,"1","M",27,"4","1","L","-","0"
"0109414",2,"2","F",22,"0","3","G","-","0"
"0112377",2,"2","M",56,"0","3","G","-","0"
"0115692",1,"1","F",23,"4","1","G","-","0"
"0125835",2,"2","M",69,"0","6","G","-","0"
"0144763",1,"2","M",20,"0","3","G","-","0"
"0144763",1,"2","M",22,"0","6","G","-","0"
"0148718",1,"1","F",38,"4","1","G","-","0"
"0148718",2,"1","M",53,"4","1","G","-","0"
"0150173",1,"2","F",17,"0","3","G","-","0"
"0150528",2,"1","F",40,"4","1","G","-","0"
"0155349",2,"2","F",82,"0","3","G","-","0"
"0155353",2,"2","F",82,"0","3","G","-","0"
"0159486",2,"1","M",56,"4","1","G","-","0"
"0159486",4,"1","M",20,"4","1","G","-","0"
"0172830",2,"2","M",88,"0","3","G","-","0"
"0184518",2,"2","M",23,"4","3","G","-","0"
"0185147",1,"2","M",10,"0","6","G","-","0"
"0185147",1,"2","M",9,"0","4","G","-","0"
"0200567",1,"1","F",24,"3","1","L","-","0"
"0208012",2,"2","F",29,"0","4","G","-","0"
"0208012",2,"2","M",0,"0","6","Q","-","0"
"0212198",1,"2","F",52,"0","1","G","-","0"
"0212671",2,"2","M",19,"0","3","G","-","0"
"0220333",3,"2","F",54,"4","3","G","-","0"
"0221260",2,"2","M",24,"0","3","G","-","0"
"0221260",2,"2","M",20,"0","4","G","-","0"
"0221260",2,"2","M",19,"0","6","G","-","0"
"0222181",2,"2","F",6,"0","4","G","-","0"
"0223113",2,"1","M",53,"4","1","G","-","0"
"0223113",3,"2","M",7,"0","5","G","-","0"
"0223113",3,"2","M",3,"0","4","Q","-","0"
"0223132",1,"1","M",22,"4","1","L","-","0"
"0227078",1,"2","M",12,"0","6","G","-","0"
"0227078",1,"2","F",21,"0","3","G","-","0"
"0227078",1,"2","M",5,"0","4","G","-","0"
"0227078",2,"2","F",25,"0","4","G","-","0"
"0237799",1,"1","M",65,"3","1","L","-","0"
"0245890",1,"1","F",28,"3","1","L","-","0"
"0246003",1,"1","F",34,"3","9","L","-","3"
"0246077",2,"1","F",44,"4","1","G","-","0"
"0253155",1,"2","F",7,"0","4","G","-","0"
"0253155",1,"2","F",14,"0","6","G","-","0"
"0253155",2,"1","M",25,"4","1","G","-","0"
"0272629",2,"2","M",46,"0","3","G","-","0"
"0272629",2,"2","F",10,"0","2","C","-","0"
"0272629",2,"2","M",20,"0","6","G","-","0"
"0272633",1,"2","F",48,"0","3","G","-","0"
"0276739",1,"2","F",20,"0","3","G","-","0"
"0276739",2,"2","F",12,"0","3","G","-","0"
"0279260",1,"2","F",54,"3","3","L","-","0"
"0279303",1,"2","F",46,"0","4","G","-","0"
"0279303",1,"2","-",78,"0","6","G","-","0"
"0301533",2,"2","F",19,"0","6","G","-","0"
"0301533",2,"2","M",21,"0","3","G","-","0"
"0303230",1,"2","F",7,"0","4","Q","-","0"
"0308514",2,"1","F",54,"4","1","G","-","0"
"0316797",1,"1","M",36,"4","1","G","-","0"
"0316797",2,"1","M",86,"4","1","G","-","0"
"0319033",2,"2","F",27,"0","3","G","-","0"
"0338152",1,"1","M",53,"4","1","L","-","0"
"0338152",2,"1","F",26,"4","1","G","-","0"
"0340525",2,"1","F",24,"3","1","L","-","0"
"0350944",1,"1","M",48,"3","1","G","-","0"
"0350944",1,"2","M",22,"0","3","G","-","0"
"0354623",1,"1","F",19,"3","1","G","-","0"
"0366691",2,"2","F",41,"0","3","G","-","0"
"0378760",1,"2","F",64,"0","3","G","-","0"
"0379606",1,"1","M",54,"2","1","W","-","1"
"0379678",1,"1","M",23,"4","1","L","-","0"
"0387689",1,"2","M",28,"0","3","G","-","0"
"0388890",1,"2","F",31,"0","3","G","-","0"
"0388890",2,"1","M",34,"4","1","G","-","0"
"0388890",2,"2","M",998,"0","3","G","-","0"
"0388922",1,"2","F",41,"0","3","G","-","0"
"0388925",2,"1","F",24,"4","1","G","-","0"
"0388925",4,"2","M",998,"0","3","G","-","0"
"0388943",2,"1","M",49,"4","1","G","-","0"
"0388943",2,"2","F",43,"0","3","G","-","0"
"0399715",1,"2","F",49,"0","3","G","-","0"
"0399715",2,"2","F",51,"0","3","G","-","0"
"0417336",1,"2","M",3,"0","6","Q","-","0"
"0443226",2,"1","M",28,"4","1","G","-","0"
"0461142",1,"1","M",36,"2","1","W","-","1"
"0461218",2,"1","F",33,"4","1","G","-","0"
"0461234",1,"2","M",5,"4","4","G","-","0"
"0461234",1,"2","M",1,"0","6","Q","-","0"
"0461265",1,"2","F",13,"0","3","G","-","0"
"0461265",1,"2","F",13,"0","6","G","-","0"
"0506426",1,"2","F",11,"0","6","G","-","0"
"0512591",1,"2","M",17,"0","3","G","-","0"
"0520573",1,"2","M",28,"4","3","G","-","0"
"0523915",2,"2","M",0,"0","6","Q","-","0"
"0523915",2,"2","F",28,"0","3","G","-","0"
"0528164",1,"2","M",20,"0","3","G","-","0"
"0545710",1,"2","F",49,"3","3","G","-","0"
"0558824",2,"2","F",32,"0","3","G","-","0"
"0564912",1,"2","M",19,"0","3","G","-","0"
"0564912",1,"2","M",20,"0","4","G","-","0"
"0564912",1,"2","M",17,"0","6","G","-","0"
"0564912",1,"2","M",18,"0","5","C","-","0"
"0570363",1,"2","M",12,"0","4","G","-","0"
