CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"9340010101115814530",2001,20010629,9340,20010101,1158,"14530","0","1","1","6","4316","-","1","3"," ","2","220","RT 237","RT 101","528","E","N","A","-","Y","SCL",4,237,"B","B",2.58,"H","7","E","N","0",0,0,3,"A","C","07",21658,"A","M","B","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010102184015213",2001,20010416,9340,20010102,1840,"15213","0","2","2","6","4316","-","2","4"," ","2","610","LAWRENCE EXPWY","KIFER RD","50","N","N","A","-","N","",0,0," "," ",0," ","8"," ","N","0",0,0,3,"A","C","03",22350,"","N","C","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010103183514644",2001,20010629,9340,20010103,1835,"14644","0","3","2","6","4316","-","1","3"," ","2","220","RT 237","MAUDE AV OC","20","E","N","A","-","Y","SCL",4,237,"B","M",1.86,"H","7","W","N","0",0,0,2,"A","C","03",22350,"","N","C","C","A","A","H","-","D","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010104091513718",2001,20010629,9340,20010104,0915,"13718","0","4","1","6","4316","-","1","2"," ","2","120","RT 101","RT 237","500","N","N","A","-","Y","SCL",4,101,"B","B",46.31,"H","7","N","N","0",0,0,2,"A","C","08",22107,"","N","B","C","A","A","H","-","A","D","0","","","","Y","Y","","G","25",0,0,0,0,0,0,0,0,0,"","",,
"9340010104100510305",2001,20010416,9340,20010104,1005,"10305","0","4","1","6","4316","-","2","4"," ","2","610","LAWRENCE EXPWY","KIFER RD","400","S","N","A","-","N","",0,0," "," ",0," ","8"," ","N","0",0,0,3,"A","C","04",21703,"","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010104120513733",2001,20010412,9340,20010104,1205,"13733","0","4","1","6","4316","1","4","S"," ","2","901","AHWANEE AV","BORREGAS AV","70","N","N","A","-","N","",0,0," "," ",0," ","8"," ","N","0",0,0,1,"A","C","03",22350,"","N","E","J","A","A","C","-","A","D","5","","","","","Y","","H","19",0,0,0,0,0,0,0,0,0,"","",,
"9340010104133510305",2001,20010416,9340,20010104,1335,"10305","0","4","1","6","4316","-","2","4"," ","2","610","LAWRENCE EXPWY","ARQUES AV","150","S","N","A","-","N","",0,0," "," ",0," ","8"," ","N","0",0,0,2,"A","C","21",22106,"","N","H","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9340010105103013733",2001,20010423,9340,20010105,1030,"13733","0","5","1","6","4316","-","2","4"," ","2","610","LAWRENCE EXPWY","KIFER RD","80","S","N","A","-","N","",0,0," "," ",0," ","8"," ","Y","0",0,0,2,"D","-","00",0,"","N","C","C","A","A","H","-","A","D","0","","","","","Y","","","",0,0,0,0,0,0,0,0,0,"","",,
"9340010105171514283",2001,20010423,9340,20010105,1715,"14283","0","5","2","6","4316","-","2","4"," ","2","610","LAWRENCE EXPWY","CTRL EXPWY  BON/R","2","S","N","A","-","N","",0,0," "," ",0," ","8"," ","Y","4",0,1,2,"A","C","21",22106,"","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,1,0,0,0,0,0,0,"","",,
"9340010107190515213",2001,20010629,9340,20010107,1905,"15213","0","7","2","6","4316","-","1","3"," ","2","220","RT 237 WBOFF/R","LAWRENCE EXPWY","10","W","N","B","-","Y","SCL",4,237,"B","R",4.731,"R","1","W","N","0",0,0,2,"A","C","03",22350,"","M","C","C","A","A","H","-","C","D","0","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"","",,
