CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G
"0000242",1,"1","N","M",22,"A","-","S","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",2000,"HONDA","A","01","00","W","","-","-"
"0000242",2,"1","N","M",25,"A","-","S","G","-","Y","-","D","-","","25",22350,"","A","-",0,0,"B",2000,"HONDA","A","01","00","O","","-","-"
"0000242",3,"1","Y","-",998,"G","G","S","B","-","N","-","D","-","-","- ",,"","N","-",0,0,"J",,"-","-","99","00","","","-","-"
"0000447",1,"1","Y","M",32,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1993,"PLYMOUTH","A","08","00","W","","-","-"
"0000447",2,"1","N","F",28,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"H",1997,"JEEP","A","07","00","A","","-","-"
"0000447",3,"1","N","F",30,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"H",1999,"ACURA","A","01","00","A","","-","-"
"0000448",1,"1","Y","M",26,"A","-","S","L","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",2000,"HONDA","A","01","00","A","","-","-"
"0000448",2,"1","N","M",33,"A","-","S","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"A",1997,"VOLKSWAGEN","A","01","00","A","","-","-"
"0000454",1,"1","Y","M",24,"A","-","W","G","-","Y","-","D","-","-","- ",,"","H","-",0,0,"R",1992,"MAZDA","A","01","00","O","","-","-"
"0000734",1,"1","Y","F",36,"A","-","N","G","-","Y","-","C","-","-","- ",,"","F","-",0,0,"B",1989,"MAZDA","A","01","00","B","K","-","-"
"0000734",2,"1","N","F",22,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",1999,"HONDA","A","01","00","A","","-","-"
"0000997",1,"1","Y","M",40,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1999,"MERCEDES-BENZ","A","07","00","O","","-","-"
"0000997",2,"1","N","M",44,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"H",1993,"DODGE","A","08","00","A","","-","-"
"0001000",1,"1","Y","F",60,"A","-","E","G","-","Y","-","C","-","-","- ",,"","N","-",0,1,"E",1983,"TOYOTA","A","01","00","A","","-","-"
"0001000",2,"1","N","F",24,"A","-","W","L","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",2002,"HONDA","A","01","00","O","","-","-"
"0001153",1,"1","Y","M",47,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1987,"MAZDA","D","23","00","W","","-","-"
"0001153",2,"1","N","F",35,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"A",2000,"FORD","D","22","00","W","","-","-"
"0001487",1,"1","Y","F",61,"A","-","W","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"J",1983,"MERCEDES-BENZ","A","01","00","A","","-","-"
"0001487",2,"1","N","M",38,"A","-","W","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1995,"GMC","F","26","00","W","","-","-"
"0001501",1,"1","Y","F",21,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",1992,"TOYOTA","A","01","00","O","","-","-"
"0001501",2,"1","N","F",22,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"A",2000,"FORD","A","01","00","O","","-","-"
"0001528",1,"1","Y","M",46,"A","-","S","G","-","Y","-","D","-","-","- ",,"","G","-",0,0,"B",1999,"DODGE","A","01","00","W","","-","-"
"0001528",2,"1","N","F",20,"A","-","S","G","-","Y","-","D","-","-","- ",,"","G","-",0,1,"A",2000,"TOYOTA","A","01","00","W","","-","-"
"0001528",3,"1","N","F",35,"A","-","S","G","-","Y","-","D","-","-","- ",,"","G","-",0,0,"A",2000,"HONDA","A","01","00","A","","-","-"
"0001528",4,"1","N","M",47,"A","-","S","G","-","Y","-","D","-","-","- ",,"","G","-",0,0,"A",1995,"FORD","A","01","00","W","","-","-"
"0001587",1,"1","Y","F",47,"A","-","S","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"E",1996,"FORD","A","01","00","O","","-","-"
"0001587",2,"1","N","M",23,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1986,"TOYOTA","A","01","00","W","","-","-"
"0001590",1,"1","Y","M",30,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",1987,"HONDA","A","01","00","O","","-","-"
"0001590",2,"1","N","M",29,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"H",2001,"CHEVROLET","A","01","00","O","","-","-"
"0001660",1,"1","Y","M",26,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"J",1997,"HONDA","A","01","00","O","","-","-"
"0001660",2,"1","N","F",44,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,1,"B",1987,"SAAB","A","01","00","W","","-","-"
"0001669",1,"1","Y","M",34,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"D",2001,"NISSAN","A","01","00","A","","-","-"
"0001669",2,"1","N","F",23,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"D",1997,"VOLKSWAGEN","A","01","00","W","","-","-"
"0001674",1,"1","Y","M",23,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"M",1998,"CHEVROLET","A","01","00","A","","-","-"
"0001674",2,"1","N","M",39,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",2002,"JEEP","A","01","00","W","","-","-"
"0001674",3,"1","N","M",68,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"A",1996,"TOYOTA","A","01","00","O","","-","-"
"0002095",1,"1","N","F",31,"A","-","S","G","-","Y","-","C","-","-","- ",,"","G","H",0,0,"A",1997,"TOYOTA","A","01","00","A","","-","-"
"0002095",2,"1","Y","-",998,"G","G","S","B","-","N","-","D","-","-","- ",,"","H","N",0,0,"B",,"OTHER - AUTO","-","99","00","","","-","-"
"0003258",1,"1","Y","M",18,"A","-","S","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"R",1993,"TOYOTA","A","01","00","H","","-","-"
"0003369",1,"1","Y","M",44,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"J",1994,"NISSAN","A","01","00","O","","-","-"
"0003369",2,"1","N","M",33,"A","-","N","C","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1997,"FREIGHTLINER","F","26","00","H","","-","-"
"0003549",1,"1","Y","-",998,"G","G","N","B","-","N","-","D","-","-","- ",,"","N","-",0,0,"J",,"OTHER - PICKUP","D","22","00","","","-","-"
"0003549",2,"1","N","F",22,"A","-","N","G","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",1990,"HONDA","A","01","00","A","","-","-"
