CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"9685010102153012939",2001,20010518,9685,20010102,1530,"12939","0","2","2","5","3335","-","1","1"," ","2","030","RT 5 SBOFF/R","WINCHESTER RD","100","N","N","A","-","Y","RIV",8,15,"B","B",6.822,"R","1","S","N","0",0,0,2,"A","C","03",22350,"","N","C","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9685010105194012529",2001,20010525,9685,20010105,1940,"12529","0","5","2","5","3335","-","1","1"," ","2","030","RT 15","RCH CA RD","1056","S","N","A","-","Y","RIV",8,15,"B","B",4.78,"H","7","N","Y","0",0,0,2,"A","C","03",22350,"","M","C","C","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9685010108072010135",2001,20010507,9685,20010108,0720,"10135","0","1","1","5","3335","-","1","3"," ","1","039","RT 79","MEADOW PKWY","0","-","Y","B","-","Y","RIV",8,79,"B","B",10.96,"H","7","S","N","0",0,0,2,"A","C","12",21453,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9685010111044508788",2001,20010511,9685,20010111,0445,"8788","0","4","3","5","3335","-","1","1"," ","2","030","RT 15","RT 79","2640","S","N","B","C","Y","RIV",8,15,"B","B",2.99,"H","7","S","Y","0",0,0,1,"A","C","03",22350,"","N","E","I","A","B","H","-","D","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9685010111220509834",2001,20010511,9685,20010111,2205,"9834","0","4","3","5","3335","-","1","1"," ","2","030","RT 15","RAINBOW VLY BL","5016","N","N","C","-","Y","RIV",8,15,"B","R",.85,"H","7","N","Y","3",0,2,2,"A","C","03",22350,"","N","C","C","A","B","H","-","C","A","0","","","","","Y","Y","A","01",0,1,1,0,0,0,0,0,0,"","",,
"9685010123124909168",2001,20010608,9685,20010123,1249,"9168","0","2","1","5","3335","-","1","1"," ","2","030","RT 15","WARM SPG CRK UC","2640","S","N","A","-","Y","RIV",8,15,"B","B",7.28,"H","7","S","Y","4",0,2,3,"A","C","03",22350,"","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,2,0,0,0,0,0,0,"","",,
"9685010125195512939",2001,20010511,9685,20010125,1955,"12939","0","4","2","5","3335","-","1","1"," ","2","030","RT 15","WINCHESTER RD","171","S","N","A","-","Y","RIV",8,15,"B","B",6.477,"R","2","N","Y","3",0,1,1,"A","C","01",23152,"A","N","E","I","A","A","H","-","C","D","0","","","","","Y","Y","A","01",0,1,0,0,0,0,0,0,0,"","",,
"9685010126171510522",2001,20010618,9685,20010126,1715,"10522","0","5","2","5","3335","-","1","1"," ","2","030","RT 15 NBOFF/R","WINCHESTER RD","50","S","N","B","-","Y","RIV",8,15,"B","B",6.477,"R","1","N","Y","4",0,1,3,"A","C","03",22350,"","N","C","C","A","B","H","-","A","D","0","","","","","Y","","A","07",0,0,1,0,0,0,0,0,0,"","",,
"9685010126203012466",2001,20010511,9685,20010126,2030,"12466","0","5","2","5","3335","-","1","1"," ","2","030","RT 15","SANTIAGO RD OC","1056","N","N","B","-","Y","RIV",8,15,"B","B",4.33,"H","7","N","N","0",0,0,2,"A","C","17",23114,"A","N","C","C","A","B","H","-","D","D","0","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"","",,
"9685010126204512939",2001,20010511,9685,20010126,2045,"12939","0","5","2","5","3335","-","1","1"," ","2","030","RT 15","RCH CA RD","2640","S","N","B","-","Y","RIV",8,15,"B","B",4.48,"H","7","N","N","0",0,0,2,"C","-","18",0,"","N","E","J","A","B","H","-","D","D","0","","","","","Y","","","",0,0,0,0,0,0,0,0,0,"","",,
"9685010131152012352",2001,20010518,9685,20010131,1520,"12352","0","3","2","5","3335","-","1","1"," ","2","030","RT 15","WINCHESTER RD","87","N","N","A","-","Y","RIV",8,15,"B","B",6.64,"H","7","N","Y","3",0,1,2,"A","C","07",21658,"A","N","B","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,1,0,0,0,0,0,0,0,"","",,
"9685010203011010543",2001,20010618,9685,20010203,0110,"10543","0","6","3","5","3335","-","1","1"," ","2","030","RT 15","RT 79","527","N","N","A","-","Y","RIV",8,15,"B","B",3.56,"H","7","S","Y","3",0,3,1,"A","C","08",22107,"","N","E","I","A","A","H","-","D","D","0","","","","","Y","","A","01",0,3,0,0,0,0,0,0,0,"","",,
"9685010210131510135",2001,20010525,9685,20010210,1315,"10135","0","6","1","5","3335","-","1","1"," ","2","030","RT 15","WINCHESTER RD OC","8","N","N","B","-","Y","RIV",8,15,"B","B",7.54,"H","7","S","Y","0",0,0,2,"A","C","03",22350,"","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
"9685010210142513376",2001,20010525,9685,20010210,1425,"13376","0","6","2","5","3335","-","1","1"," ","2","030","RT 15","LWR RT 79","4480","S","N","B","C","Y","RIV",8,15,"B","R",2.57,"H","7","N","Y","0",0,0,1,"A","C","08",22107,"","N","E","I","A","B","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"","",,
