CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G
"0012357",1,"1","Y","-",998,"D","-","S","-","-","","-","D","-","-","- ",,"","N","-",0,0,"B",,"-","D","22","00","","","-","-"
"0012357",2,"1","N","M",49,"A","-","S","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",2000,"TOYOTA","D","22","00","W","","-","-"
"0016339",1,"1","Y","M",50,"B","-","N","G","-","Y","-","D","-","","28",21658,"A","A","-",0,0,"J",1989,"JAGUAR","A","01","00","W","","-","-"
"0016339",2,"1","N","M",31,"A","-","N","G","-","","-","D","-","-","- ",,"","N","-",0,0,"B",1994,"FREIGHTLINER","G","27","31","H","","-","-"
"0016339",3,"1","N","F",22,"A","-","N","G","-","N","-","D","-","-","- ",,"","N","-",0,0,"B",1999,"CHEVROLET","A","01","00","W","","-","-"
"0016339",4,"1","N","F",17,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1985,"CHEVROLET","A","01","00","W","","-","-"
"0018353",1,"1","Y","M",30,"A","-","N","G","-","Y","-","D","-","-","- ",,"","H","-",0,0,"H",1992,"MAZDA","D","22","00","W","","-","-"
"0018353",2,"1","N","M",44,"A","-","N","G","-","Y","-","C","-","-","- ",,"","H","-",0,0,"H",2002,"PORSCHE","A","01","00","W","","-","-"
"0023531",1,"1","Y","F",73,"A","-","N","G","-","Y","-","D","-","","25",22350,"","A","L",0,0,"B",1997,"TOYOTA","A","01","00","W","","-","-"
"0023531",2,"1","N","F",49,"A","-","N","G","-","Y","-","D","-","-","- ",,"","N","-",0,0,"B",1996,"TOYOTA","A","01","00","W","","-","-"
"0028772",1,"1","Y","M",20,"A","-","N","L","-","Y","-","C","-","-","- ",,"","N","-",0,0,"B",2001,"KIA","A","01","00","W","","-","-"
