CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"0016339",1,"2","F",48,"0","3","G","-","0"
"0016339",4,"2","M",17,"0","3","G","-","0"
"0018353",2,"2","F",35,"0","3","G","-","0"
"0023531",2,"2","F",79,"0","3","G","-","0"
"0028772",2,"2","F",34,"0","3","G","-","0"
"0035031",1,"1","M",19,"3","1","L","-","0"
"0035031",1,"2","M",21,"3","4","G","-","0"
"0035031",1,"2","M",19,"2","5","C","-","0"
"0035031",1,"2","M",21,"3","6","F","-","0"
"0035031",1,"2","M",20,"3","3","L","-","0"
"0052096",1,"2","F",2,"0","3","Q","-","0"
"0052096",2,"2","F",42,"0","3","G","-","0"
"0052124",2,"2","F",47,"0","2","G","-","0"
"0052926",3,"2","F",62,"0","3","G","-","0"
"0052934",1,"2","F",17,"4","3","G","-","0"
"0052934",2,"1","M",49,"4","1","G","-","0"
"0059769",2,"2","F",80,"0","3","G","-","0"
"0059769",2,"2","M",48,"0","4","G","-","0"
"0059769",2,"2","M",56,"0","6","G","-","0"
"0065261",2,"2","F",6,"0","5","C","-","0"
"0065262",2,"1","F",24,"4","1","G","-","0"
"0072780",1,"2","F",22,"3","3","G","-","0"
"0072781",1,"2","F",65,"0","3","G","-","0"
"0110150",2,"1","F",53,"4","1","G","-","0"
"0110150",2,"2","F",8,"0","6","G","-","0"
"0110150",2,"2","F",84,"0","3","G","-","0"
"0110153",1,"2","F",59,"0","2","G","-","0"
"0110153",3,"2","F",23,"0","3","G","-","0"
"0110154",1,"2","M",11,"0","3","G","-","0"
"0110154",2,"2","F",42,"0","3","G","-","0"
"0110154",2,"2","M",45,"0","6","F","-","0"
"0110154",2,"2","F",42,"0","4","G","-","0"
"0117443",1,"2","M",20,"4","3","L","-","0"
"0121105",2,"1","F",41,"4","1","G","-","0"
"0121105",2,"2","M",5,"0","4","G","-","0"
"0121105",2,"2","M",46,"0","3","G","-","0"
"0121105",2,"2","M",10,"0","6","G","-","0"
"0125047",1,"2","M",9,"0","3","G","-","0"
"0125047",1,"2","F",3,"0","6","Q","-","0"
"0125047",2,"1","F",35,"4","1","G","-","0"
"0125047",2,"2","F",9,"0","6","G","-","0"
"0125047",2,"2","M",8,"0","4","G","-","0"
"0125047",2,"2","F",64,"4","3","G","-","0"
"0128029",1,"2","F",15,"0","3","P","-","0"
"0128029",2,"2","M",7,"0","3","G","-","0"
"0128045",1,"1","M",41,"3","1","G","-","0"
"0140995",1,"1","F",47,"4","1","G","-","0"
"0140995",1,"2","M",45,"0","3","G","-","0"
"0150390",1,"1","M",54,"3","1","G","-","0"
"0157180",1,"1","F",48,"3","1","G","-","0"
"0157511",1,"2","F",12,"4","0","P","-","0"
"0157511",1,"2","F",12,"4","0","P","-","0"
"0157511",1,"2","M",13,"4","0","P","-","0"
"0157511",2,"1","F",68,"4","1","G","-","0"
"0157511",2,"2","F",95,"0","3","G","-","0"
"0169033",2,"2","F",40,"0","3","G","-","0"
"0174360",1,"2","M",998,"0","3","G","-","0"
"0174380",1,"1","F",19,"4","1","G","-","0"
"0175525",2,"2","F",88,"4","3","G","-","0"
"0175529",2,"1","F",22,"4","1","G","-","0"
"0175529",2,"2","M",24,"0","3","G","-","0"
