day,hour,value
1,1,161
1,12,462
1,23,213
1,2,114
1,13,556
1,24,179
1,3,131
1,14,516
1,4,75
1,15,562
1,5,69
1,16,681
1,6,132
1,17,693
1,7,254
1,18,783
1,8,567
1,19,571
1,9,549
1,20,387
1,10,435
1,21,271
1,11,408
1,22,276
2,1,108
2,12,460
2,23,217
2,2,95
2,13,519
2,24,193
2,3,99
2,14,519
2,4,49
2,15,599
2,5,59
2,16,840
2,6,131
2,17,814
2,7,287
2,18,800
2,8,715
2,19,573
2,9,685
2,20,412
2,10,478
2,21,316
2,11,449
2,22,287
3,1,128
3,12,486
3,23,242
3,2,100
3,13,556
3,24,195
3,3,95
3,14,553
3,4,73
3,15,579
3,5,58
3,16,753
3,6,138
3,17,789
3,7,319
3,18,834
3,8,679
3,19,640
3,9,732
3,20,443
3,10,480
3,21,316
3,11,427
3,22,283
4,1,153
4,12,483
4,23,268
4,2,134
4,13,472
4,24,204
4,3,147
4,14,538
4,4,75
4,15,613
4,5,91
4,16,723
4,6,130
4,17,780
4,7,278
4,18,782
4,8,660
4,19,623
4,9,628
4,20,444
4,10,443
4,21,323
4,11,460
4,22,287
5,1,192
5,12,492
5,23,357
5,2,153
5,13,574
5,24,351
5,3,211
5,14,536
5,4,100
5,15,659
5,5,83
5,16,774
5,6,137
5,17,823
5,7,259
5,18,829
5,8,546
5,19,684
5,9,562
5,20,504
5,10,475
5,21,402
5,11,439
5,22,395
6,1,290
6,12,428
6,23,357
6,2,329
6,13,500
6,24,441
6,3,389
6,14,503
6,4,205
6,15,505
6,5,151
6,16,541
6,6,110
6,17,517
6,7,127
6,18,515
6,8,231
6,19,508
6,9,283
6,20,425
6,10,328
6,21,364
6,11,391
6,22,361
7,1,340
7,12,343
7,23,294
7,2,401
7,13,381
7,24,227
7,3,369
7,14,421
7,4,217
7,15,414
7,5,154
7,16,425
7,6,121
7,17,451
7,7,133
7,18,438
7,8,160
7,19,416
7,9,200
7,20,364
7,10,237
7,21,334
7,11,339
7,22,352
